,synonyms,percentage,Keyword
167,golf,0.4423477053642273,polo
168,gymkhana,0.43398070335388184,polo
169,Equestrian,0.42188161611557007,polo
170,stripy,0.6138137578964233,striped
171,plackets,0.5786510109901428,striped
172,plaid,0.5771095156669617,striped
173,purple,0.5752418041229248,striped
174,blue,0.5643118619918823,striped
175,turquoise,0.5615695714950562,striped
176,paisley,0.5601475238800049,striped
177,colored,0.5597656965255737,striped
178,multicolored,0.5565977096557617,striped
179,Striped,0.5564738512039185,striped
180,miniature,0.5740998387336731,mini
181,Mini,0.5285099744796753,mini
182,sized,0.48345792293548584,mini
183,ludo,0.47960364818573,mini
184,minis,0.4505375623703003,mini
185,plinko,0.42691493034362793,mini
186,themed,0.4244873523712158,mini
187,micro,0.42361509799957275,mini
188,gigantic,0.4193347096443176,mini
189,veritable,0.41905614733695984,mini
190,storied,0.44222432374954224,checkered
191,tumultuous,0.4362591505050659,checkered
192,tarnished,0.41080787777900696,checkered
193,unsavory,0.408713161945343,checkered
194,history,0.40779125690460205,checkered
195,turbulent,0.4040416479110718,checkered
196,fiascos,0.40205296874046326,checkered
197,sordid,0.4010899066925049,checkered
198,taint,0.3892495632171631,checkered
199,colorful,0.38551586866378784,checkered
200,brownish,0.7020484209060669,brown
201,reddish,0.6582766175270081,brown
202,white,0.6580772399902344,brown
203,gray,0.6466139554977417,brown
204,blackish,0.6393879055976868,brown
205,tannish,0.6289770603179932,brown
206,greyish,0.6220434904098511,brown
207,blue,0.6177892684936523,brown
208,grayish,0.6135960221290588,brown
209,purple,0.6100153923034668,brown
210,gray,0.6025359630584717,beige
211,brown,0.5761750936508179,beige
212,taupe,0.5527520179748535,beige
213,burgundy,0.5517231822013855,beige
214,Beige,0.5438294410705566,beige
215,turquoise,0.5166752338409424,beige
216,sueded,0.5067585110664368,beige
217,mauve,0.5022107362747192,beige
218,maroon,0.5001892447471619,beige
219,pink,0.49698981642723083,beige
220,polkas,0.7550954818725586,polka
221,oompah,0.5977638959884644,polka
222,Polka,0.5954086184501648,polka
223,Polkas,0.5871333479881287,polka
224,jazz,0.5788770914077759,polka
225,bluegrass,0.5718779563903809,polka
226,zydeco,0.565650999546051,polka
227,accordions,0.5606575012207031,polka
228,ragtime,0.5578547120094299,polka
229,klezmer,0.550620436668396,polka
230,black,0.8092215061187744,white
231,blue,0.6606029272079468,white
232,brown,0.6580772399902344,white
233,colored,0.6238332986831665,white
234,gray,0.598164975643158,white
235,whites,0.5951665639877319,white
236,red,0.5687106251716614,white
237,yellow,0.5539973974227905,white
238,purple,0.551679790019989,white
239,pink,0.5503718852996826,white
240,greener,0.5499471426010132,green
241,red,0.5360241532325745,green
242,greening,0.5261998772621155,green
243,yellow,0.4939578175544739,green
244,blue,0.49246498942375183,green
245,Green,0.4884915351867676,green
246,brown,0.4597485065460205,green
247,florescent,0.4520505666732788,green
248,greenest,0.451556921005249,green
249,nongreen,0.45145183801651,green
250,raglan,0.6847764253616333,crewneck
251,crewnecks,0.6749331951141357,crewneck
252,cami,0.644527792930603,crewneck
253,Bandeau,0.6423143744468689,crewneck
254,skort,0.6418063640594482,crewneck
255,bandeau,0.6388896107673645,crewneck
256,chambray,0.6375409364700317,crewneck
257,Sleeveless,0.633068323135376,crewneck
258,camis,0.6313040852546692,crewneck
259,capri,0.6266106963157654,crewneck
260,red,0.751919150352478,yellow
261,orange,0.6421886086463928,yellow
262,blue,0.6376121640205383,yellow
263,purple,0.6272757053375244,yellow
264,yellows,0.612633228302002,yellow
265,pink,0.6098285913467407,yellow
266,Yellow,0.5735666751861572,yellow
267,colored,0.5726768970489502,yellow
268,brown,0.5648981332778931,yellow
269,white,0.5539973974227905,yellow
270,cami,0.6615753173828125,henley
271,chambray,0.6613931059837341,henley
272,raglan,0.6439425945281982,henley
273,capelet,0.6385001540184021,henley
274,shirred,0.6360536813735962,henley
275,capri,0.6328684091567993,henley
276,peacoat,0.6290704011917114,henley
277,romper,0.6253145337104797,henley
278,playsuits,0.622075080871582,henley
279,Bandeau,0.6206582188606262,henley
280,silver,0.8313292264938354,gold
281,Gold,0.6448120474815369,gold
282,bullion,0.6131513714790344,gold
283,copper,0.5996049642562866,gold
284,bullions,0.5662660002708435,gold
285,platinum,0.5550693273544312,gold
286,platinums,0.5470141172409058,gold
287,glisters,0.5334721803665161,gold
288,moly,0.5209375619888306,gold
289,marcasite,0.5161865949630737,gold
290,boats,0.8379808068275452,boat
291,sailboat,0.792748212814331,boat
292,motorboat,0.7824094295501709,boat
293,dinghy,0.7400074005126953,boat
294,powerboat,0.7333542704582214,boat
295,speedboat,0.7263736724853516,boat
296,canoe,0.7163945436477661,boat
297,skiff,0.7159765958786011,boat
298,yacht,0.7155699729919434,boat
299,kayak,0.709189772605896,boat
300,chevrons,0.6358617544174194,chevron
301,roundel,0.5251157879829407,chevron
302,roundels,0.5242950916290283,chevron
303,quatrefoil,0.5007544755935669,chevron
304,cartouche,0.49477750062942505,chevron
305,upswept,0.4935440421104431,chevron
306,scalloped,0.4929032325744629,chevron
307,aV,0.4915531277656555,chevron
308,trefoil,0.48993897438049316,chevron
309,strakes,0.4872615337371826,chevron
310,short,0.57684326171875,long
311,Long,0.5566869974136353,long
312,longer,0.5208715796470642,long
313,lengthy,0.4845607876777649,long
314,longest,0.46493327617645264,long
315,shorter,0.43999916315078735,long
316,LONG,0.4356802701950073,long
317,prolonged,0.42739441990852356,long
318,lasting,0.4225815236568451,long
319,term,0.41780591011047363,long
320,spring,0.7650764584541321,summer
321,winter,0.7155519127845764,summer
322,summertime,0.691234290599823,summer
323,summers,0.6734901070594788,summer
324,autumn,0.6497201919555664,summer
325,weekend,0.6279284954071045,summer
326,week,0.6263920068740845,summer
327,Summer,0.6091794967651367,summer
328,springtime,0.5996415019035339,summer
329,month,0.5987646579742432,summer
330,pink,0.7253912687301636,purple
331,blue,0.7134225964546204,purple
332,crimson,0.6982596516609192,purple
333,orange,0.6877812147140503,purple
334,burgundy,0.6716827154159546,purple
335,red,0.6477126479148865,purple
336,colored,0.6405723094940186,purple
337,yellow,0.6272757053375244,purple
338,maroon,0.6244332194328308,purple
339,teal,0.6218870878219604,purple
340,bronzes,0.662238597869873,bronze
341,bonze,0.6478885412216187,bronze
342,Bronze,0.6304751634597778,bronze
343,medal,0.6268219947814941,bronze
344,golds,0.6015411615371704,bronze
345,medals,0.5991226434707642,bronze
346,silvers,0.5833284854888916,bronze
347,silver,0.5610243082046509,bronze
348,recurve,0.4962431490421295,bronze
349,Bronzes,0.48938435316085815,bronze
350,paisleys,0.6987076997756958,paisley
351,plaid,0.6454373598098755,paisley
352,fuchsia,0.6211561560630798,paisley
353,capelet,0.5992763638496399,paisley
354,plaids,0.5910826921463013,paisley
355,turquoise,0.5890645980834961,paisley
356,frilly,0.5869205594062805,paisley
357,playsuits,0.5859315991401672,paisley
358,lurex,0.5857881307601929,paisley
359,drapey,0.5856693387031555,paisley
360,children,0.725947916507721,child
361,infant,0.7019841074943542,child
362,chid,0.6848281621932983,child
363,toddler,0.670088529586792,child
364,baby,0.6573991179466248,child
365,newborn,0.6530671119689941,child
366,Child,0.6472914218902588,child
367,preschooler,0.6413357257843018,child
368,grandchild,0.6188069581985474,child
369,mother,0.6177657842636108,child
370,stilettos,0.42915573716163635,heels
371,slingbacks,0.4264037311077118,heels
372,toes,0.3937630355358124,heels
373,stiletto,0.37988513708114624,heels
374,coincided,0.37163329124450684,heels
375,follows,0.3705616891384125,heels
376,Following,0.3680393397808075,heels
377,shoes,0.36354660987854004,heels
378,stilettoes,0.3615087866783142,heels
379,bootie,0.35588258504867554,heels
380,purple,0.6877812147140503,orange
381,blue,0.6421891450881958,orange
382,yellow,0.6421886086463928,orange
383,red,0.6162858009338379,orange
384,pink,0.6027532815933228,orange
385,teal,0.5985915660858154,orange
386,crimson,0.5973384380340576,orange
387,tangerine,0.5725560188293457,orange
388,burgundy,0.5641969442367554,orange
389,orangy,0.5620036125183105,orange
390,plaid,0.6242259740829468,argyle
391,henley,0.5840243101119995,argyle
392,capelet,0.5786634087562561,argyle
393,argyles,0.5765404105186462,argyle
394,crewneck,0.5753834247589111,argyle
395,capri,0.5736870765686035,argyle
396,cardigans,0.5731704235076904,argyle
397,boucle,0.5727202892303467,argyle
398,cami,0.5650628209114075,argyle
399,corduroys,0.5649733543395996,argyle
400,gold,0.8313292264938354,silver
401,bronze,0.5610243082046509,silver
402,copper,0.544082760810852,silver
403,bonze,0.5238566398620605,silver
404,Gold,0.521171510219574,silver
405,metallic,0.5129736661911011,silver
406,bullions,0.5119291543960571,silver
407,aurum,0.506569504737854,silver
408,bullion,0.5040613412857056,silver
409,palladium,0.4957970976829529,silver
410,Daytime,0.7036563158035278,daytime
411,nighttime,0.6440005302429199,daytime
412,daytimes,0.5290930271148682,daytime
413,nightime,0.5098176598548889,daytime
414,primetime,0.5071521401405334,daytime
415,weekday,0.4713670611381531,daytime
416,evenings,0.45856204628944397,daytime
417,nightly,0.45274847745895386,daytime
418,sudser,0.4508156180381775,daytime
419,weeknights,0.44002243876457214,daytime
420,working,0.6820694208145142,work
421,works,0.5828025937080383,work
422,worked,0.5474148988723755,work
423,Work,0.5430512428283691,work
424,job,0.5102996826171875,work
425,Working,0.5052490234375,work
426,labors,0.45065024495124817,work
427,toil,0.4349416494369507,work
428,done,0.4337936043739319,work
429,doing,0.4288903772830963,work
430,nuptials,0.7825039029121399,wedding
431,weddings,0.7155418395996094,wedding
432,bride,0.7104349732398987,wedding
433,Wedding,0.6956347227096558,wedding
434,bridal,0.6394801139831543,wedding
435,newlyweds,0.6298935413360596,wedding
436,nuptial,0.6165780425071716,wedding
437,honeymoon,0.5950222015380859,wedding
438,wed,0.5948472619056702,wedding
439,Weddings,0.5756055116653442,wedding
440,clearer,0.6023353338241577,clear
441,obvious,0.5761545300483704,clear
442,clearest,0.5183728933334351,clear
443,unambiguous,0.518014669418335,clear
444,unclear,0.510229229927063,clear
445,sure,0.49796047806739807,clear
446,evident,0.48859721422195435,clear
447,unequivocal,0.48435235023498535,clear
448,apparent,0.4673815369606018,clear
449,understood,0.45560377836227417,clear
450,Formal,0.6613984107971191,formal
451,formalized,0.603641152381897,formal
452,formally,0.5828005075454712,formal
453,informal,0.5330371856689453,formal
454,formality,0.4941444396972656,formal
455,formalize,0.47163158655166626,formal
456,substantive,0.45494353771209717,formal
457,formalizing,0.4342295527458191,formal
458,definitive,0.4299911856651306,formal
459,informally,0.42882034182548523,formal
460,wedges,0.6709630489349365,wedge
461,fairway,0.5080458521842957,wedge
462,flagstick,0.4851658046245575,wedge
463,iron,0.4714462161064148,wedge
464,bunker,0.46545010805130005,wedge
465,chunked,0.44867855310440063,wedge
466,sidehill,0.4396517872810364,wedge
467,putt,0.4382597804069519,wedge
468,putted,0.4304438829421997,wedge
469,dogleg,0.42709916830062866,wedge
470,sweatshirts,0.6523488759994507,beanies
471,beanie,0.6154035329818726,beanies
472,hoodies,0.5903569459915161,beanies
473,sweaters,0.5815402269363403,beanies
474,shirts,0.5685593485832214,beanies
475,togs,0.566003680229187,beanies
476,woolies,0.5504088401794434,beanies
477,ponchos,0.54453444480896,beanies
478,hats,0.5413473844528198,beanies
479,snowsuits,0.5388486981391907,beanies
480,aviators,0.6731129884719849,aviator
481,warbird,0.5749034285545349,aviator
482,aviatrix,0.5708627104759216,aviator
483,flyboy,0.5681174993515015,aviator
484,airman,0.5354510545730591,aviator
485,adventurer,0.5286020040512085,aviator
486,tailgunner,0.5207292437553406,aviator
487,paratrooper,0.5147296190261841,aviator
488,sailor,0.5098364353179932,aviator
489,balloonist,0.5040847063064575,aviator
490,slingbacks,0.6710526347160339,oxfords
491,chambray,0.653650164604187,oxfords
492,chinos,0.6498522162437439,oxfords
493,espadrille,0.645024299621582,oxfords
494,slacks,0.6352539658546448,oxfords
495,loafers,0.6303267478942871,oxfords
496,shirtdress,0.6301881074905396,oxfords
497,dungarees,0.6294351816177368,oxfords
498,corduroys,0.6285384893417358,oxfords
499,twinsets,0.6234197020530701,oxfords
500,apartments,0.6737571954727173,flats
501,bungalows,0.6558403968811035,flats
502,maisonettes,0.6531481742858887,flats
503,maisonette,0.5890637636184692,flats
504,bungalow,0.5660181045532227,flats
505,semidetached,0.5658339262008667,flats
506,storey,0.5649316310882568,flats
507,summerhouses,0.549471378326416,flats
508,dwellings,0.5451720356941223,flats
509,houses,0.5387933850288391,flats
510,wayfarers,0.5306556224822998,wayfarer
511,rishi,0.4947434365749359,wayfarer
512,vade,0.47652310132980347,wayfarer
513,e'er,0.4721275568008423,wayfarer
514,comfortless,0.46784764528274536,wayfarer
515,flaneur,0.45847052335739136,wayfarer
516,Kafiristan,0.4571250081062317,wayfarer
517,afterworld,0.4529333710670471,wayfarer
518,deva,0.45122310519218445,wayfarer
519,Baudelaire,0.45099490880966187,wayfarer
520,oxfords,0.6303267478942871,loafers
521,shoes,0.6240595579147339,loafers
522,brogues,0.6185833215713501,loafers
523,loafer,0.6158186197280884,loafers
524,chinos,0.5893465876579285,loafers
525,slacks,0.5823543071746826,loafers
526,sandals,0.5749582052230835,loafers
527,sneakers,0.574705183506012,loafers
528,boots,0.549773633480072,loafers
529,wingtips,0.5451653003692627,loafers
530,sport,0.6914727687835693,sports
531,sporting,0.6360231637954712,sports
532,Sports,0.6295466423034668,sports
533,athletics,0.6093032360076904,sports
534,football,0.5927178263664246,sports
535,soccer,0.5805468559265137,sports
536,baseball,0.5657501816749573,sports
537,athletic,0.5434121489524841,sports
538,basketball,0.5381245017051697,sports
539,hockey,0.5354151725769043,sports
540,Bridal,0.6763710975646973,bridal
541,brides,0.6671222448348999,bridal
542,wedding,0.6394800543785095,bridal
543,Wedding,0.5888586044311523,bridal
544,Bridals,0.5863520503044128,bridal
545,Weddings,0.5792326927185059,bridal
546,Brides,0.5775760412216187,bridal
547,bride,0.5573176145553589,bridal
548,bridesmaids,0.5483946800231934,bridal
549,lingerie,0.5442417860031128,bridal
550,knee,0.8969995379447937,ankle
551,hamstring,0.7808674573898315,ankle
552,groin,0.7738890647888184,ankle
553,shin,0.7662943601608276,ankle
554,thigh,0.7549458742141724,ankle
555,quadriceps,0.7388772964477539,ankle
556,fibula,0.7264536619186401,ankle
557,wrist,0.7087509632110596,ankle
558,elbow,0.7086986303329468,ankle
559,forearm,0.694571852684021,ankle
560,Assorted,0.6685224175453186,assorted
561,myriad,0.5947729349136353,assorted
562,assortment,0.5916046500205994,assorted
563,plethora,0.5857100486755371,assorted
564,bevy,0.5855202674865723,assorted
565,various,0.5847596526145935,assorted
566,sundry,0.577132523059845,assorted
567,galore,0.5712665319442749,assorted
568,slew,0.5640376210212708,assorted
569,ranging,0.5540989637374878,assorted
570,liverpool,0.8414959907531738,chelsea
571,wenger,0.8122553825378418,chelsea
572,barca,0.7839787006378174,chelsea
573,chelski,0.7733855843544006,chelsea
574,tottenham,0.7688229084014893,chelsea
575,fulham,0.7585563659667969,chelsea
576,everton,0.7584189176559448,chelsea
577,bolton,0.7546161413192749,chelsea
578,drogba,0.7512556314468384,chelsea
579,madrid,0.7511358261108398,chelsea
580,wedge,0.6709630489349365,wedges
581,Wedges,0.60316002368927,wedges
582,irons,0.5390377044677734,wedges
583,clubheads,0.5298324227333069,wedges
584,greens,0.4870929419994354,wedges
585,clubhead,0.48526713252067566,wedges
586,putters,0.468692809343338,wedges
587,flagsticks,0.46600526571273804,wedges
588,espadrilles,0.46283477544784546,wedges
589,hosel,0.46150749921798706,wedges
590,rectangular,0.734093964099884,rectangle
591,rectangles,0.7289932370185852,rectangle
592,semicircles,0.6314839124679565,rectangle
593,oblongs,0.6186626553535461,rectangle
594,rhombus,0.6063050031661987,rectangle
595,ellipse,0.5987191200256348,rectangle
596,oblong,0.5933527946472168,rectangle
597,triangles,0.5728943347930908,rectangle
598,hexagons,0.5626205205917358,rectangle
599,parallelogram,0.5609772205352783,rectangle
600,beret,0.6461899280548096,berets
601,fatigues,0.5393984913825989,berets
602,greatcoats,0.5185724496841431,berets
603,tunics,0.5099231004714966,berets
604,cockade,0.5089518427848816,berets
605,uniforms,0.5086379647254944,berets
606,headbands,0.5031678676605225,berets
607,kerchiefs,0.5006792545318604,berets
608,blousons,0.4982719421386719,berets
609,tracksuits,0.49803000688552856,berets
610,cowhide,0.6883898973464966,leather
611,suede,0.6711207628250122,leather
612,calfskin,0.6548599004745483,leather
613,leathers,0.6361364722251892,leather
614,leatherette,0.636057436466217,leather
615,Leather,0.6199685335159302,leather
616,velvet,0.6072314977645874,leather
617,alcantara,0.601089596748352,leather
618,nappa,0.5922235250473022,leather
619,lambskin,0.5903375744819641,leather
620,satin,0.6389110088348389,lace
621,lacy,0.6327245235443115,lace
622,grosgrain,0.6163680553436279,lace
623,dresses,0.6156378984451294,lace
624,chiffon,0.6105085015296936,lace
625,tulle,0.6099978089332581,lace
626,sequins,0.607574462890625,lace
627,organza,0.6073547601699829,lace
628,charmeuse,0.6035130023956299,lace
629,organdy,0.6008956432342529,lace
630,men,0.767493724822998,women
631,Women,0.7283449769020081,women
632,girls,0.6339040398597717,women
633,females,0.6240420937538147,women
634,mothers,0.6050933599472046,women
635,ladies,0.5865179300308228,women
636,husbands,0.5705342292785645,women
637,Men,0.5693342089653015,women
638,female,0.5556280612945557,women
639,WOMEN,0.5476948022842407,women
640,greases,0.610952615737915,grease
641,greasy,0.5767958164215088,grease
642,gunk,0.5482316017150879,grease
643,degrease,0.5417720079421997,grease
644,greasing,0.5364722013473511,grease
645,oily,0.5346426963806152,grease
646,drippings,0.5288829803466797,grease
647,degreased,0.5181988477706909,grease
648,goop,0.5166034698486328,grease
649,fryer,0.507980227470398,grease
650,Short,0.6335718035697937,short
651,long,0.5768433213233948,short
652,shorter,0.5117443203926086,short
653,shortest,0.44183817505836487,short
654,term,0.4154612720012665,short
655,Long,0.41273200511932373,short
656,duration,0.39822787046432495,short
657,longish,0.3966136574745178,short
658,brief,0.3957626521587372,short
659,durations,0.3921857476234436,short
660,women,0.767493724822998,men
661,Men,0.6301246881484985,men
662,males,0.6242231130599976,men
663,mens,0.5807526707649231,men
664,boys,0.5781347751617432,men
665,man,0.5489763021469116,men
666,females,0.5481874942779541,men
667,teenagers,0.5462744235992432,men
668,girls,0.540932834148407,men
669,ladies,0.5234236717224121,men
670,Metal,0.6769896745681763,metal
671,metals,0.6429589986801147,metal
672,aluminum,0.6375764012336731,metal
673,steel,0.6366958618164062,metal
674,copper,0.5716449022293091,metal
675,metallic,0.567112147808075,metal
676,titanium,0.554741621017456,metal
677,alloy,0.5472537279129028,metal
678,nonmetal,0.5339909791946411,metal
679,weldable,0.5177637338638306,metal
680,late,0.6253470778465271,mid
681,early,0.609954833984375,mid
682,sometime,0.4814179837703705,mid
683,middle,0.44633007049560547,mid
684,since,0.4409196078777313,mid
685,beginning,0.43841424584388733,mid
686,until,0.4380980134010315,mid
687,earliest,0.4131607413291931,mid
688,onwards,0.40709227323532104,mid
689,end,0.40341973304748535,mid
690,organza,0.781667947769165,tulle
691,chiffon,0.7751495838165283,tulle
692,taffeta,0.7098489999771118,tulle
693,bodice,0.6862708926200867,tulle
694,sequins,0.6729296445846558,tulle
695,ruched,0.6636648178100586,tulle
696,ruffles,0.6467757821083069,tulle
697,underskirt,0.644321084022522,tulle
698,lacy,0.6431612968444824,tulle
699,paillettes,0.6372897624969482,tulle
700,nylon,0.7204720973968506,polyester
701,polypropylene,0.6838143467903137,polyester
702,viscose,0.660109281539917,polyester
703,polyethylene,0.6532127857208252,polyester
704,Polyester,0.6507096290588379,polyester
705,polyesters,0.6170229911804199,polyester
706,PVC,0.6035625338554382,polyester
707,rayon,0.602245569229126,polyester
708,polyurethane,0.5977519154548645,polyester
709,ripstop,0.587572455406189,polyester
710,thistles,0.640597939491272,thistle
711,barberry,0.5886739492416382,thistle
712,dandelion,0.586735188961029,thistle
713,fleabane,0.5643161535263062,thistle
714,groundsel,0.5606851577758789,thistle
715,fireweed,0.5539422631263733,thistle
716,larkspur,0.5531996488571167,thistle
717,toadflax,0.5506888628005981,thistle
718,mallow,0.5491763353347778,thistle
719,milkweed,0.5490713119506836,thistle
720,chambray,0.642023503780365,seersucker
721,plaid,0.6249443888664246,seersucker
722,corduroys,0.6130383014678955,seersucker
723,polos,0.610648512840271,seersucker
724,cardigans,0.5967063307762146,seersucker
725,turtlenecks,0.5954070687294006,seersucker
726,oxfords,0.593960165977478,seersucker
727,chinos,0.5881795883178711,seersucker
728,blazers,0.583076000213623,seersucker
729,tweed,0.5797679424285889,seersucker
730,infant,0.7424003481864929,toddler
731,toddlers,0.7090147733688354,toddler
732,boy,0.7043969035148621,toddler
733,Toddler,0.6936788558959961,toddler
734,baby,0.6863292455673218,toddler
735,tot,0.6758583784103394,toddler
736,child,0.6700885891914368,toddler
737,preschooler,0.6684583425521851,toddler
738,girl,0.6473966240882874,toddler
739,newborn,0.6385319232940674,toddler
740,zippers,0.7231481075286865,zipper
741,zippered,0.6612682938575745,zipper
742,Velcro,0.6404361724853516,zipper
743,velcro,0.6283704042434692,zipper
744,placket,0.560676097869873,zipper
745,plackets,0.556930661201477,zipper
746,elasticized,0.5511593818664551,zipper
747,eyelets,0.5510489344596863,zipper
748,gusseted,0.5507572889328003,zipper
749,gusset,0.5493072867393494,zipper
750,exported,0.8015643954277039,imported
751,imports,0.7766703367233276,imported
752,importing,0.7623467445373535,imported
753,import,0.7474536895751953,imported
754,Imported,0.6922785639762878,imported
755,importation,0.6589357256889343,imported
756,exporting,0.6573100090026855,imported
757,exports,0.6462811231613159,imported
758,export,0.6427314281463623,imported
759,importer,0.6410191059112549,imported
760,Soot,0.6378114819526672,soot
761,particulates,0.6361335515975952,soot
762,sooty,0.6086191534996033,soot
763,smog,0.6024255156517029,soot
764,pollutants,0.5922770500183105,soot
765,particulate,0.5787889361381531,soot
766,ash,0.5770090818405151,soot
767,dust,0.5704399347305298,soot
